end_date,title,start_time,end_time,start_date,location
"13 
                          April
                          2018",Oslo Destination Britain Fair Day 1 (Norway),04:00pm,08:00pm,"13 
                          April
                          2018","Felix Konferansesenter at Aker Brygge, Oslo address: Bryggetorget 3, 0250 Oslo"
"14 
                          April
                          2018",Oslo Destination Britain Fair Day 2 (Norway),12:00pm,06:00pm,"14 
                          April
                          2018","Felix Konferansesenter at Aker Brygge, Oslo address: Bryggetorget 3, 0250 Oslo"
"29 
                          June
                          2018",BUIRA Conference 2018: The return of politics to employment relations,09:00am,06:00pm,"27 
                          June
                          2018","Middlesex University, The Burroughs, London, NW4 4BT"
"17 
                          April
                          2018",Concert – Allegri Quartet,06:15pm,08:00pm,"17 
                          April
                          2018","Concert Room, The Grove Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"9 
                          June
                          2018",Undergraduate Open Day,10:00am,03:00pm,"9 
                          June
                          2018","Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"20 
                          March
                          2018",“The Life of a Song”: Uncovering How the Music Industry Works,06:15pm,08:00pm,"20 
                          March
                          2018",TBC
"20 
                          March
                          2018",Rio de Janeiro EDUEXPOS (Brazil),04:00pm,09:00pm,"20 
                          March
                          2018","HOTEL PULLMAN RIO DE JANEIRO SÃO CONRADO (ROYAL TULIP) Av. Aquarela do Brasil, 75"
"18 
                          March
                          2018",Sao Paulo EDUEXPOS Day 2 (Brazil),02:00pm,07:00pm,"18 
                          March
                          2018","CENTRO DE CONVENÇÕES FREI CANECA (Rua Frei Caneca, 569, 5° andar)"
"23 
                          March
                          2018",6th International Conference on Professional Doctorates,09:00am,05:00pm,"22 
                          March
                          2018","Friends House, 173-177 Euston Road, London, NW1 2BJ"
"10 
                          April
                          2018",Grove Sessions,06:00pm,08:00pm,"10 
                          April
                          2018","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"22 
                          March
                          2018",Spring Concert with the London Firebird Orchestra,07:30pm,09:30pm,"22 
                          March
                          2018","St Pancras Church, Euston Rd, London NW1 2BA"
"7 
                          March
                          2018",University Singers’ Ensemble Concert,07:00pm,09:00pm,"7 
                          March
                          2018","Burgh House, New End Square, London NW3 1LT"
"13 
                          March
                          2018",Composition Workshop with the London Firebird Orchestra,06:15pm,08:00pm,"13 
                          March
                          2018","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"17 
                          March
                          2018",Sao Paulo EDUEXPOS Day 1 (Brazil),02:00pm,07:00pm,"17 
                          March
                          2018","CENTRO DE CONVENÇÕES FREI CANECA (Rua Frei Caneca, 569, 5° andar)"
"22 
                          February
                          2018",Undergraduate Mini Open Evening,05:30pm,07:30pm,"22 
                          February
                          2018","College Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"17 
                          March
                          2018",Bucharest RIUF Fair Day 1 (Romania),09:30am,05:00pm,"17 
                          March
                          2018",Palace Hall
"24 
                          February
                          2018","Narrating the Somatic: Gathering voices, sharing practices One Day Symposium",09:00am,06:00pm,"24 
                          February
                          2018","G182 Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"16 
                          March
                          2018",Miami SRT Fair Day 2 (USA),10:00am,05:00pm,"16 
                          March
                          2018","Miami, Florida"
"27 
                          February
                          2018",Music in Paris: The Place of the Boulanger Sisters?,06:15pm,08:00pm,"27 
                          February
                          2018","Concert Room, Grove Building, Middlesex University, The Burroughs, London, NW4 4BT"
"28 
                          February
                          2018",Norse-derived terms in English: The bread and butter of etymological work,04:00pm,05:30pm,"28 
                          February
                          2018","BG09A (Building 9),"
"14 
                          February
                          2018",A Viewpoint is more than a Point of View - 'Shades of Light' and City Poetry,04:00pm,05:30pm,"14 
                          February
                          2018","Room BG09A (Building 9),"
"18 
                          March
                          2018",Bucharest RIUF Fair Day 2 (Romania),09:30am,05:00pm,"18 
                          March
                          2018",Palace Hall
"3 
                          March
                          2018",Milan Study UK Fair (Italy),09:00am,05:00pm,"3 
                          March
                          2018","Palazzo delle Stelline, Corso Magenta 61, 20123 Milan"
"15 
                          March
                          2018",Miami SRT Fair Day 1 (USA),10:00am,05:00pm,"15 
                          March
                          2018","Miami, Florida"
"10 
                          March
                          2018",The 9th Annual Strength and Conditioning Student Conference,09:30am,05:00pm,"10 
                          March
                          2018","Rickett Quadrangle, College Building, Middlesex University, The Burroughs, Hendon, London, NW4 4BT"
"3 
                          March
                          2018",Kuala Lumpur Study UK Exhibition (Malaysia),05:00am,10:00am,"3 
                          March
                          2018","Exhibition Hall 1, Kuala Lumpur Convention Centre Kuala Lumpur City Centre 50888 Kuala Lumpur"
"15 
                          February
                          2018",Oslo Tautdanning Education Fair Day 2 (Norway),10:00am,03:00pm,"15 
                          February
                          2018","Oslo Spektrum, Sonia Henies pl. 2, N-0185 Oslo"
